supply_id,sourcing_partner_id,pincode,status,created_at,first_call_at,activated_at,last_week_cac,activation_time
1,97,1,first call,2022-10-06 19:00:05.431835,2022-10-07 19:00:05.431835,2022-10-13 19:00:05.431835,79,7
2,97,1,first call,2023-02-01 19:00:05.431835,2023-02-03 19:00:05.431835,2023-02-10 19:00:05.431835,65,9
3,98,1,activated,2022-09-14 19:00:05.431835,2022-09-21 19:00:05.431835,2022-09-25 19:00:05.431835,31,11
4,97,4,first call,2022-08-26 19:00:05.431835,2022-08-31 19:00:05.431835,2022-09-01 19:00:05.431835,51,6
5,99,4,first call,2022-09-03 19:00:05.431835,2022-09-06 19:00:05.431835,2022-09-12 19:00:05.431835,55,9
6,99,2,created,2022-12-06 19:00:05.431835,2022-12-11 19:00:05.431835,2022-12-16 19:00:05.431835,80,10
7,99,1,first call,2022-08-24 19:00:05.431835,2022-08-26 19:00:05.431835,2022-08-28 19:00:05.431835,38,4
8,98,2,created,2022-10-09 19:00:05.431835,2022-10-10 19:00:05.431835,2022-10-16 19:00:05.431835,40,7
9,99,4,activated,2022-12-03 19:00:05.431835,2022-12-07 19:00:05.431835,2022-12-08 19:00:05.431835,16,5
10,96,4,created,2023-01-04 19:00:05.431835,2023-01-07 19:00:05.431835,2023-01-09 19:00:05.431835,94,5
11,97,4,activated,2022-04-26 19:00:05.431835,2022-04-29 19:00:05.431835,2022-05-03 19:00:05.431835,37,7
12,96,4,activated,2022-05-09 19:00:05.431835,2022-05-12 19:00:05.431835,2022-05-18 19:00:05.431835,34,9
13,97,4,first call,2022-07-14 19:00:05.431835,2022-07-17 19:00:05.431835,2022-07-23 19:00:05.431835,86,9
14,99,2,activated,2023-03-14 19:00:05.431835,2023-03-17 19:00:05.431835,2023-03-20 19:00:05.431835,49,6
15,97,1,first call,2022-12-13 19:00:05.431835,2022-12-16 19:00:05.431835,2022-12-21 19:00:05.431835,61,8
16,98,3,first call,2022-05-20 19:00:05.431835,2022-05-24 19:00:05.431835,2022-05-26 19:00:05.431835,25,6
17,98,4,activated,2022-07-25 19:00:05.431835,2022-07-26 19:00:05.431835,2022-07-28 19:00:05.431835,37,3
18,96,2,first call,2022-05-30 19:00:05.431835,2022-06-06 19:00:05.431835,2022-06-10 19:00:05.431835,94,11
19,97,4,first call,2022-08-02 19:00:05.431835,2022-08-04 19:00:05.431835,2022-08-05 19:00:05.431835,51,3
20,99,1,activated,2022-05-24 19:00:05.431835,2022-05-29 19:00:05.431835,2022-06-04 19:00:05.431835,61,11
21,97,3,first call,2023-01-04 19:00:05.431835,2023-01-08 19:00:05.431835,2023-01-09 19:00:05.431835,91,5
22,97,1,first call,2022-09-23 19:00:05.431835,2022-09-30 19:00:05.431835,2022-10-05 19:00:05.431835,19,12
23,96,1,activated,2022-11-06 19:00:05.431835,2022-11-11 19:00:05.431835,2022-11-18 19:00:05.431835,87,12
24,99,2,created,2022-08-06 19:00:05.431835,2022-08-09 19:00:05.431835,2022-08-11 19:00:05.431835,20,5
25,96,2,activated,2022-04-03 19:00:05.431835,2022-04-05 19:00:05.431835,2022-04-06 19:00:05.431835,22,3
26,96,2,created,2023-01-27 19:00:05.431835,2023-01-28 19:00:05.431835,2023-02-04 19:00:05.431835,77,8
27,98,3,first call,2022-12-06 19:00:05.431835,2022-12-12 19:00:05.431835,2022-12-15 19:00:05.431835,49,9
28,98,4,activated,2022-09-29 19:00:05.431835,2022-10-06 19:00:05.431835,2022-10-13 19:00:05.431835,52,14
29,97,3,created,2022-04-01 19:00:05.431835,2022-04-07 19:00:05.431835,2022-04-09 19:00:05.431835,92,8
30,98,3,activated,2022-11-20 19:00:05.431835,2022-11-22 19:00:05.431835,2022-11-29 19:00:05.431835,79,9
31,99,4,first call,2022-08-09 19:00:05.431835,2022-08-15 19:00:05.431835,2022-08-16 19:00:05.431835,45,7
32,98,2,activated,2022-12-22 19:00:05.431835,2022-12-27 19:00:05.431835,2022-12-30 19:00:05.431835,72,8
33,98,2,activated,2023-01-18 19:00:05.431835,2023-01-25 19:00:05.431835,2023-01-31 19:00:05.431835,31,13
34,99,4,activated,2022-10-18 19:00:05.431835,2022-10-19 19:00:05.431835,2022-10-20 19:00:05.431835,93,2
35,96,4,activated,2022-04-19 19:00:05.431835,2022-04-21 19:00:05.431835,2022-04-24 19:00:05.431835,68,5
36,96,2,activated,2022-12-19 19:00:05.431835,2022-12-20 19:00:05.431835,2022-12-25 19:00:05.431835,35,6
37,99,2,first call,2022-08-16 19:00:05.431835,2022-08-23 19:00:05.431835,2022-08-25 19:00:05.431835,20,9
38,99,3,created,2022-10-26 19:00:05.431835,2022-10-30 19:00:05.431835,2022-11-01 19:00:05.431835,93,6
39,99,3,activated,2022-08-11 19:00:05.431835,2022-08-15 19:00:05.431835,2022-08-16 19:00:05.431835,37,5
40,97,4,created,2022-09-20 19:00:05.431835,2022-09-25 19:00:05.431835,2022-09-27 19:00:05.431835,98,7
41,96,4,created,2022-07-15 19:00:05.431835,2022-07-21 19:00:05.431835,2022-07-22 19:00:05.431835,19,7
42,98,4,first call,2023-03-04 19:00:05.431835,2023-03-06 19:00:05.431835,2023-03-11 19:00:05.431835,52,7
43,99,3,created,2022-06-17 19:00:05.431835,2022-06-19 19:00:05.431835,2022-06-22 19:00:05.431835,42,5
44,97,4,created,2022-06-25 19:00:05.431835,2022-06-26 19:00:05.431835,2022-07-02 19:00:05.431835,88,7
45,98,3,created,2022-07-21 19:00:05.431835,2022-07-28 19:00:05.431835,2022-07-31 19:00:05.431835,25,10
46,98,1,created,2022-08-30 19:00:05.431835,2022-09-02 19:00:05.431835,2022-09-06 19:00:05.431835,97,7
47,96,4,first call,2023-01-25 19:00:05.431835,2023-01-26 19:00:05.431835,2023-01-30 19:00:05.431835,94,5
48,96,3,first call,2022-06-19 19:00:05.431835,2022-06-22 19:00:05.431835,2022-06-24 19:00:05.431835,95,5
49,99,4,first call,2022-09-17 19:00:05.431835,2022-09-18 19:00:05.431835,2022-09-19 19:00:05.431835,55,2
50,96,4,first call,2022-04-29 19:00:05.431835,2022-04-30 19:00:05.431835,2022-05-06 19:00:05.431835,68,7
51,97,1,first call,2023-01-16 19:00:05.431835,2023-01-20 19:00:05.431835,2023-01-25 19:00:05.431835,73,9
52,98,2,activated,2022-08-18 19:00:05.431835,2022-08-22 19:00:05.431835,2022-08-24 19:00:05.431835,84,6
53,99,1,activated,2022-11-03 19:00:05.431835,2022-11-09 19:00:05.431835,2022-11-14 19:00:05.431835,87,11
54,98,4,activated,2022-05-30 19:00:05.431835,2022-05-31 19:00:05.431835,2022-06-07 19:00:05.431835,54,8
55,99,1,activated,2022-05-04 19:00:05.431835,2022-05-10 19:00:05.431835,2022-05-15 19:00:05.431835,61,11
56,99,1,activated,2022-10-29 19:00:05.431835,2022-11-03 19:00:05.431835,2022-11-10 19:00:05.431835,77,12
57,99,4,first call,2022-05-25 19:00:05.431835,2022-06-01 19:00:05.431835,2022-06-07 19:00:05.431835,31,13
58,98,4,activated,2022-05-06 19:00:05.431835,2022-05-09 19:00:05.431835,2022-05-14 19:00:05.431835,54,8
59,98,2,created,2022-10-02 19:00:05.431835,2022-10-09 19:00:05.431835,2022-10-15 19:00:05.431835,40,13
60,99,2,first call,2022-07-18 19:00:05.431835,2022-07-22 19:00:05.431835,2022-07-27 19:00:05.431835,95,9
61,98,4,first call,2022-04-27 19:00:05.431835,2022-05-04 19:00:05.431835,2022-05-10 19:00:05.431835,11,13
62,96,2,created,2022-12-31 19:00:05.431835,2023-01-04 19:00:05.431835,2023-01-06 19:00:05.431835,35,6
63,98,4,created,2023-02-05 19:00:05.431835,2023-02-10 19:00:05.431835,2023-02-12 19:00:05.431835,16,7
64,98,4,created,2023-02-28 19:00:05.431835,2023-03-01 19:00:05.431835,2023-03-06 19:00:05.431835,16,6
65,98,1,activated,2022-10-29 19:00:05.431835,2022-11-01 19:00:05.431835,2022-11-03 19:00:05.431835,75,5
66,97,2,activated,2023-02-08 19:00:05.431835,2023-02-13 19:00:05.431835,2023-02-19 19:00:05.431835,97,11
67,98,2,first call,2023-03-25 19:00:05.431835,2023-03-26 19:00:05.431835,2023-03-29 19:00:05.431835,33,4
68,98,2,first call,2022-12-31 19:00:05.431835,2023-01-05 19:00:05.431835,2023-01-07 19:00:05.431835,72,7
69,98,1,activated,2022-12-21 19:00:05.431835,2022-12-22 19:00:05.431835,2022-12-24 19:00:05.431835,59,3
70,96,2,created,2022-09-24 19:00:05.431835,2022-09-30 19:00:05.431835,2022-10-03 19:00:05.431835,17,9
71,98,2,created,2022-08-29 19:00:05.431835,2022-09-04 19:00:05.431835,2022-09-07 19:00:05.431835,84,9
72,97,3,activated,2022-08-12 19:00:05.431835,2022-08-15 19:00:05.431835,2022-08-18 19:00:05.431835,61,6
73,99,2,activated,2022-07-01 19:00:05.431835,2022-07-05 19:00:05.431835,2022-07-11 19:00:05.431835,95,10
74,97,3,activated,2023-03-07 19:00:05.431835,2023-03-14 19:00:05.431835,2023-03-16 19:00:05.431835,55,9
75,96,2,first call,2022-12-16 19:00:05.431835,2022-12-21 19:00:05.431835,2022-12-26 19:00:05.431835,35,10
